Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Check Bet Increment,,,2019-02-27 18:36:09,2019-02-27 18:36:13,3.640s,FAILED
,,,,,,
Test Cases/Check Bet Increment,,,2019-02-27 18:36:09,2019-02-27 18:36:13,3.429s,FAILED
"response0 = sendRequestAndVerify(findTestObject(""Get_Session_Token""))",,,2019-02-27 18:36:09,2019-02-27 18:36:12,2.343s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""Login""))",,,2019-02-27 18:36:12,2019-02-27 18:36:13,0.820s,PASSED
login = new groovy.json.JsonSlurper(),,,2019-02-27 18:36:13,2019-02-27 18:36:13,0.001s,PASSED
login_rsult = login.parseText(response1.getResponseBodyContent()),,,2019-02-27 18:36:13,2019-02-27 18:36:13,0.002s,PASSED
denomination = bet_denominations,,,2019-02-27 18:36:13,2019-02-27 18:36:13,0.001s,PASSED
"println(""bet denomination is :"" + denomination)",,,2019-02-27 18:36:13,2019-02-27 18:36:13,0.001s,PASSED
assert denomination == bet_denomination,,,2019-02-27 18:36:13,2019-02-27 18:36:13,0.009s,FAILED
